CVE_ENT,CVE_MUN,CVE_LOC,AGEB,MANZANA
09,017,0001,1257,034
09,017,0001,048A,005
09,015,0001,1252,009
09,015,0001,0485,007
09,014,0001,0168,004
09,015,0001,0536,007
09,015,0001,0644,012
09,012,0001,038A,001
09,016,0001,0779,018
09,015,0001,0644,012
09,015,0001,0697,007
09,007,0001,1176,036
09,015,0001,0964,012
09,015,0001,0860,020
09,015,0001,0841,010
09,015,0001,0606,005
09,015,0001,1356,016
09,005,0001,1114,024
09,012,0001,0214,003
09,015,0001,1017,005
09,016,0001,1226,010
09,008,0001,0283,031
09,016,0001,1029,010
09,016,0001,0656,010
09,007,0001,1710,004
09,016,0001,0622,015
09,014,0001,0717,004
09,004,0001,0369,069
09,016,0001,0868,017
09,014,0001,0914,003
09,006,0001,0842,014
09,005,0001,0436,010
09,005,0001,0968,016
09,005,0001,0953,016
09,006,0001,0289,011
09,007,0001,0939,003
09,002,0001,0311,030
09,014,0001,1024,012
09,006,0001,0128,023
09,007,0001,0322,012
09,002,0001,0928,001
09,003,0001,0041,021
09,002,0001,0824,016
09,003,0001,1105,023
09,003,0001,1641,036
09,005,0001,0332,001
09,005,0001,338A,029
09,007,0001,0981,022
09,005,0001,0756,011
09,005,0001,1256,010
09,005,0001,1275,011
09,014,0001,0223,007
09,014,0001,0384,006
09,014,0001,0308,002
09,015,0001,0875,011
09,014,0001,0613,010
09,014,0001,0420,004
09,014,0001,0384,001
09,014,0001,0401,009
09,015,0001,1074,013
09,014,0001,0172,016
09,003,0001,1798,033
09,002,0001,0928,009
09,012,0001,0017,001
09,010,0001,1542,036
09,014,0001,0100,001
09,013,0001,0086,002
09,012,0001,0430,008
09,012,0001,0479,001
09,012,0001,0411,016
09,012,0001,0411,016
09,010,0001,1307,025
09,012,0019,2460,011
09,012,0001,1960,020
09,010,0001,1114,004
09,010,0001,0987,024
09,010,0001,0811,005
09,010,0001,1203,008
09,010,0001,1129,014
09,014,0001,0064,013
09,014,0001,0223,007
09,014,0001,0793,023
09,010,0001,1059,022
09,010,0001,1078,022
09,007,0001,0977,013
09,014,0001,0613,010
09,014,0001,0562,003
09,015,0001,0875,028
09,015,0001,0856,011
09,015,0001,0818,005
09,015,0001,0907,012
09,016,0001,0603,003
09,015,0001,0697,003
09,016,0001,050A,017
09,015,0001,0697,003
09,015,0001,0697,008
09,014,0001,0083,014
09,016,0001,050A,008
09,016,0001,0656,010
09,012,0001,038A,012
09,014,0001,0083,002
09,012,0001,0981,003
09,006,0001,0310,005
09,015,0001,0324,005
09,013,0001,0230,011
09,015,0001,0875,025
09,003,0001,1675,022
09,016,0001,0444,007
09,005,0001,2907,033
09,016,0001,0779,003
09,010,0001,1379,036
09,012,0001,0182,002
09,014,0001,0793,006
09,015,0001,1411,020
09,016,0001,118A,021
09,004,0001,0369,070
09,016,0001,0730,001
09,003,0001,168A,020
09,005,0001,0525,005
09,012,0001,1072,002
09,010,0001,0135,024
09,010,0001,0972,016
09,004,0001,0180,007
09,015,0001,1214,025
09,005,0001,1805,004
09,014,0001,0825,002
09,010,0001,1241,012
09,016,0001,0783,015
