ID,TIPO,INST,CALLE,NUMERO,REF,COLONIA,CP,OBS,ALCALDIA,OID
497,TIENDAS DE AUTOSERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Miguel Angel de Quevedo,443,M. Ocampo,Monte de Piedad,4310,Desconocido,Coyoacán,497
498,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Miguel Angel de Quevedo,175-F,Esq. Universidad,Barrio Oxtopulco Universidad,4318,Desconocido,Coyoacán,498
499,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Av. Azteca,221,Desconocido,Los Reyes,4330,Desconocido,Coyoacán,499
500,TIENDAS DE AUTOSERVICIO,"UNIDAD COMERCIAL DE TODO, S.A.",Av. Copilco,164,Esq. Av. Universidad,Oxtopulco Universidad,4318,Desconocido,Coyoacán,500
501,TIENDAS DEPARTAMENTALES,HERMANOS VAZQUEZ,Av. Universidad,2014,Desconocido,Copilco Universidad,4360,Desconocido,Coyoacán,501
502,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Av. Sta. Ana,Desconocido,Esq. Canal Nacional,Sn. Francisco Culhuacan,4480,Desconocido,Coyoacán,502
503,CENTRO COMERCIAL,CENTRO COMERCIAL PERISUR,Periférico Sur,4690,Entre Zacatepetl y  Av. del Iman,Insurgentes Cuicuilco,4530,Desconocido,Coyoacán,503
504,TIENDAS DEPARTAMENTALES,PUERTO DE LIVERPOOL,Av. Periférico  Sur,4690,Entre Av. del Iman y Zacatepetl,Insurgentes Cuicuilco,4530,Desconocido,Coyoacán,504
505,TIENDAS DEPARTAMENTALES,SEARS,Anillo Periférico Sur,4690,Desconocido,Insuegentes Cuicuilco,4530,Desconocido,Coyoacán,505
506,TIENDAS DEPARTAMENTALES,"EL PALACIO DE HIERRO, S.A. DE C.V.",Periférico Sur,4690,Perisur,Insurgentes Cuicuilco,4530,Desconocido,Coyoacán,506
507,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Periférico Sur,4690,Desconocido,Insurgentes Cuicuilco,4530,Desconocido,Coyoacán,507
508,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Sn. Jerónimo,630,Desconocido,Insurgentes Cuicuilco,4530,Desconocido,Coyoacán,508
509,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Periférico Sur,4690,Entre Zacatepetl y  Av. del Iman,Insurgentes Cuicuilco,4530,Desconocido,Coyoacán,509
510,CENTRO COMERCIAL,CENTRO COMERCIAL REAL DE COYOACAN,Av. Div. del Norte,3651,Esq. Calz. Tlalpan,Xotepingo,4610,Desconocido,Coyoacán,510
511,CENTRO COMERCIAL,COMERCIAL SAULO S.A. DE C.V.,Av. Div. del Norte,3640,Desconocido,Sn. Pablo Tepetlapa,4620,Desconocido,Coyoacán,511
512,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Av. Tepetlapa,S/N,Desconocido,Alianza Popular Revolucionaria,4800,Desconocido,Coyoacán,512
513,TIENDAS DEPARTAMENTALES,VIANA,Calz. de Tlalpan,2820,Esq. Div. del Norte,Espartaco,4870,Desconocido,Coyoacán,513
514,TIENDAS DE AUTOSERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Calz. del Hueso,530,Esq. Canal de Miramontes,Girasoles,4920,Desconocido,Coyoacán,514
515,TIENDAS DEPARTAMENTALES,VIANA,Calz. de Tlalpan,4355,Esq. J. Apolinar Nieto,Bosques de Tetlameya,4730,Desconocido,Coyoacán,515
516,CENTRO Y PLAZA COMERCIAL,PLAZA ACORA PEDREGAL,Periferico Sur,4268,Desconocido,JARDINES DEL PEDREGAL DE SAN ANGEL,4500,Desconocido,Coyoacán,516
517,CENTRO Y PLAZA COMERCIAL,WALMART PERIFARICO SUR,Insurgentes Sur,90,Desconocido,INSURGENTES CUICUILCO,4530,Desconocido,Coyoacán,517
